"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","93","NEG-TC-DJ-COM-009: Delete Comment with Non-existent ID","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Comments API Negative Tests","negative.test.dummyjson/comment.negative.spec.ts","",""
"","0","TC-DJ-CART-NEG-003: Get Cart with Null ID","Dummy API Tests","2026-07-29","skipped","2026-07-29","DummyJSON Carts API Negative Tests","negative.test.dummyjson/carts.negative.spec.ts","",""
"","91","TC-DJ-POST-NEG-008: Get Comments for Non-existent Post","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Posts API Negative Tests","negative.test.dummyjson/post.negative.spec.ts","",""
"","0","TC-DJ-REC-NEG-005: Search Recipes with SQL Injection","Dummy API Tests","2026-07-29","skipped","2026-07-29","DummyJSON Recipes API Negative Tests","negative.test.dummyjson/recipes.negative.spec.ts","",""
"","103","TC-DJ-POST-009: Delete a post","Dummy API Tests","2026-07-29","passed","2026-07-29","Posts API Tests","dummyjson/posts.spec.ts","",""
"","89","TC-DJ-TODO-NEG-009: Delete Todo with Non-existent ID","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Todos API Negative Tests","negative.test.dummyjson/todos.negative.spec.ts","",""
"","4555","TC-DJ-AUTH-001 - Login with valid Credentials","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON - Authentication API Tests","dummyjson/auth.spec.ts","",""
"","91","TC-DJ-POST-NEG-010: Delete Post with Non-existent ID","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Posts API Negative Tests","negative.test.dummyjson/post.negative.spec.ts","",""
"","91","NEG-TC-DJ-COM-007: Add Comment with Invalid Post ID","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Comments API Negative Tests","negative.test.dummyjson/comment.negative.spec.ts","",""
"","90","TC-DJ-USER-016 - Delete User","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON - User API Tests","dummyjson/user.spec.ts","",""
"","0","TC-DJ-POST-NEG-006: Search Posts with SQL Injection","Dummy API Tests","2026-07-29","skipped","2026-07-29","DummyJSON Posts API Negative Tests","negative.test.dummyjson/post.negative.spec.ts","",""
